,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
0,22SFull,ACCT 2301.001,Introductory Financial Accounting,Jieying Zhang ,Monday,08:00:00,08:50:00,JSOM 1.117
1,22SFull,ACCT 2301.001,Introductory Financial Accounting,Jieying Zhang ,Wednesday,08:00:00,08:50:00,JSOM 1.117
2,22SFull,ACCT 2301.001,Introductory Financial Accounting,Jieying Zhang ,Friday,08:00:00,08:50:00,JSOM 1.117
3,22SFull,ACCT 2301.002,Introductory Financial Accounting,Jieying Zhang ,Monday,09:00:00,09:50:00,JSOM 1.117
4,22SFull,ACCT 2301.002,Introductory Financial Accounting,Jieying Zhang ,Wednesday,09:00:00,09:50:00,JSOM 1.117
5,22SFull,ACCT 2301.002,Introductory Financial Accounting,Jieying Zhang ,Friday,09:00:00,09:50:00,JSOM 1.117
6,22SFull,ACCT 2301.003,Introductory Financial Accounting,Jieying Zhang ,Monday,10:00:00,11:15:00,JSOM 1.117
7,22SFull,ACCT 2301.003,Introductory Financial Accounting,Jieying Zhang ,Wednesday,10:00:00,11:15:00,JSOM 1.117
8,22SFull,ACCT 2301.005,Introductory Financial Accounting,Naim Bugra Ozel ,Monday,13:00:00,14:15:00,JSOM 2.115
9,22SFull,ACCT 2301.005,Introductory Financial Accounting,Naim Bugra Ozel ,Wednesday,13:00:00,14:15:00,JSOM 2.115
10,22SFull,ACCT 2301.006,Introductory Financial Accounting,Naim Bugra Ozel ,Monday,14:30:00,15:45:00,JSOM 2.115
11,22SFull,ACCT 2301.006,Introductory Financial Accounting,Naim Bugra Ozel ,Wednesday,14:30:00,15:45:00,JSOM 2.115
12,22SFull,ACCT 2301.007,Introductory Financial Accounting,Pinar Gencer ,Wednesday,16:00:00,18:45:00,SOM 1.102
13,22SFull,ACCT 2301.501,Introductory Financial Accounting,Naim Bugra Ozel ,Monday,19:00:00,21:45:00,JSOM 1.107
14,22SFull,ACCT 2302.001,Introductory Management Accounting,Mary Beth Goodrich ,Monday,09:00:00,09:50:00,JSOM 2.714
15,22SFull,ACCT 2302.001,Introductory Management Accounting,Mary Beth Goodrich ,Wednesday,09:00:00,09:50:00,JSOM 2.714
16,22SFull,ACCT 2302.001,Introductory Management Accounting,Mary Beth Goodrich ,Friday,09:00:00,09:50:00,JSOM 2.714
17,22SOpen,ACCT 2302.002,Introductory Management Accounting,Mary Beth Goodrich ,Monday,10:00:00,10:50:00,JSOM 2.714
18,22SOpen,ACCT 2302.002,Introductory Management Accounting,Mary Beth Goodrich ,Wednesday,10:00:00,10:50:00,JSOM 2.714
19,22SOpen,ACCT 2302.002,Introductory Management Accounting,Mary Beth Goodrich ,Friday,10:00:00,10:50:00,JSOM 2.714
20,22SFull,ACCT 2302.003,Introductory Management Accounting,Jedson Pinto ,Monday,13:00:00,14:15:00,JSOM 2.106
21,22SFull,ACCT 2302.003,Introductory Management Accounting,Jedson Pinto ,Wednesday,13:00:00,14:15:00,JSOM 2.106
22,22SFull,ACCT 2302.004,Introductory Management Accounting,Jedson Pinto ,Monday,14:30:00,15:45:00,JSOM 2.106
23,22SFull,ACCT 2302.004,Introductory Management Accounting,Jedson Pinto ,Wednesday,14:30:00,15:45:00,JSOM 2.106
24,22SFull,ACCT 2302.005,Introductory Management Accounting,Kirti Sinha ,Tuesday,08:30:00,09:45:00,JSOM 2.717
25,22SFull,ACCT 2302.005,Introductory Management Accounting,Kirti Sinha ,Thursday,08:30:00,09:45:00,JSOM 2.717
26,22SFull,ACCT 2302.006,Introductory Management Accounting,Kirti Sinha ,Tuesday,10:00:00,11:15:00,JSOM 2.717
27,22SFull,ACCT 2302.006,Introductory Management Accounting,Kirti Sinha ,Thursday,10:00:00,11:15:00,JSOM 2.717
28,22SFull,ACCT 2302.007,Introductory Management Accounting,Kirti Sinha ,Tuesday,11:30:00,12:45:00,JSOM 2.717
29,22SFull,ACCT 2302.007,Introductory Management Accounting,Kirti Sinha ,Thursday,11:30:00,12:45:00,JSOM 2.717
30,22SOpen,ACCT 2302.008,Introductory Management Accounting,Zhonglan Dai ,Tuesday,14:30:00,15:45:00,JSOM 12.214
31,22SOpen,ACCT 2302.008,Introductory Management Accounting,Zhonglan Dai ,Thursday,14:30:00,15:45:00,JSOM 12.214
32,22SOpen,ACCT 2302.009,Introductory Management Accounting,Zhonglan Dai ,Tuesday,13:00:00,14:15:00,JSOM 12.214
33,22SOpen,ACCT 2302.009,Introductory Management Accounting,Zhonglan Dai ,Thursday,13:00:00,14:15:00,JSOM 12.214
34,22SFull,ACCT 2302.501,Introductory Management Accounting,Jedson Pinto ,Wednesday,19:00:00,21:45:00,JSOM 2.115
35,22SOpen,ACCT 3322.001,Integrated Accounting Information Systems,Mary Beth Goodrich ,Tuesday,11:30:00,12:45:00,JSOM 2.902
36,22SOpen,ACCT 3322.001,Integrated Accounting Information Systems,Mary Beth Goodrich ,Thursday,11:30:00,12:45:00,JSOM 2.902
37,22SFull,ACCT 3331.001,Intermediate Financial Accounting I,Yibin Zhou ,Monday,10:00:00,11:15:00,JSOM 2.804
38,22SFull,ACCT 3331.001,Intermediate Financial Accounting I,Yibin Zhou ,Wednesday,10:00:00,11:15:00,JSOM 2.804
39,22SOpen,ACCT 3331.002,Intermediate Financial Accounting I,Yibin Zhou ,Monday,13:00:00,14:15:00,SOM 1.102
40,22SOpen,ACCT 3331.002,Intermediate Financial Accounting I,Yibin Zhou ,Wednesday,13:00:00,14:15:00,SOM 1.102
41,22SOpen,ACCT 3331.501,Intermediate Financial Accounting I,Steven Solcher ,Tuesday,19:00:00,21:45:00,JSOM 1.212
42,22SFull,ACCT 3332.001,Intermediate Financial Accounting II,Tiffany Bortz ,Monday,11:30:00,12:45:00,JSOM 1.107
43,22SFull,ACCT 3332.001,Intermediate Financial Accounting II,Tiffany Bortz ,Wednesday,11:30:00,12:45:00,JSOM 1.107
44,22SOpen,ACCT 3332.501,Intermediate Financial Accounting II,Daniel Karnuta ,Wednesday,19:00:00,21:45:00,JSOM 2.801
45,22SFull,ACCT 3341.001,Cost Management Systems,Gil Sadka ,Tuesday,13:00:00,14:15:00,JSOM 2.103
46,22SFull,ACCT 3341.001,Cost Management Systems,Gil Sadka ,Thursday,13:00:00,14:15:00,JSOM 2.103
47,22SFull,ACCT 3341.002,Cost Management Systems,Gil Sadka ,Tuesday,14:30:00,15:45:00,JSOM 2.103
48,22SFull,ACCT 3341.002,Cost Management Systems,Gil Sadka ,Thursday,14:30:00,15:45:00,JSOM 2.103
49,22SOpen,ACCT 3341.501,Cost Management Systems,Gil Sadka ,Thursday,19:00:00,21:45:00,JSOM 2.802
50,22SOpen,ACCT 3350.001,Fundamentals of Taxation,John Gamino ,Tuesday,10:00:00,11:15:00,SOM 1.102
51,22SOpen,ACCT 3350.001,Fundamentals of Taxation,John Gamino ,Thursday,10:00:00,11:15:00,SOM 1.102
52,22SOpen,ACCT 3350.501,Fundamentals of Taxation,John Gamino ,Monday,19:00:00,21:45:00,SOM 1.102
53,22SFull,ACCT 4301.001,Database Systems,John Hagen ,Monday,16:00:00,18:45:00,JSOM 2.801
54,22SOpen,ACCT 4334.001,Auditing,Chris Linsteadt ,Monday,08:30:00,09:45:00,JSOM 2.106
55,22SOpen,ACCT 4334.001,Auditing,Chris Linsteadt ,Wednesday,08:30:00,09:45:00,JSOM 2.106
56,22SOpen,ACCT 4334.501,Auditing,Chris Linsteadt ,Wednesday,19:00:00,21:45:00,JSOM 2.112
57,22SOpen,ACCT 4337.501,Business Valuation,Gregory Ballew ,Tuesday,17:30:00,18:45:00,JSOM 2.903
58,22SOpen,ACCT 4337.501,Business Valuation,Gregory Ballew ,Thursday,17:30:00,18:45:00,JSOM 2.903
59,22SOpen,ACCT 4340.001,Survey of Accounting Software,Jennifer Johnson ,Monday,14:30:00,15:45:00,JSOM 1.110
60,22SOpen,ACCT 4340.001,Survey of Accounting Software,Jennifer Johnson ,Wednesday,14:30:00,15:45:00,JSOM 1.110
61,22SOpen,ACCT 4342.001,Analysis and Design of Accounting Systems,Jennifer Johnson ,Monday,13:00:00,14:15:00,JSOM 1.110
62,22SOpen,ACCT 4342.001,Analysis and Design of Accounting Systems,Jennifer Johnson ,Wednesday,13:00:00,14:15:00,JSOM 1.110
63,22SOpen,ACCT 4342.501,Analysis and Design of Accounting Systems,Jennifer Johnson ,Tuesday,19:00:00,21:45:00,JSOM 1.110
64,22SOpen,ACCT 6202.501,Accounting For Managerial Decision Making And Control,Ramachandran Natarajan ,Tuesday,17:00:00,18:50:00,JSOM 1.212
65,22SOpen,ACCT 6301.501,Financial Accounting,John Barden ,Thursday,19:00:00,21:45:00,JSOM 2.106
66,22SOpen,ACCT 6305.001,Accounting for Managers,Maria Loumioti ,Tuesday,13:00:00,15:45:00,JSOM 2.801
67,22SFull,ACCT 6305.002,Accounting for Managers,Maria Loumioti ,Tuesday,16:00:00,18:45:00,JSOM 2.801
68,22SOpen,ACCT 6305.501,Accounting for Managers,Maria Loumioti ,Wednesday,19:00:00,21:45:00,JSOM 1.212
69,22SFull,ACCT 6309.001,Business Data Warehousing,Naser Islam ,Tuesday,14:30:00,15:45:00,JSOM 2.722
70,22SFull,ACCT 6309.001,Business Data Warehousing,Naser Islam ,Thursday,14:30:00,15:45:00,JSOM 2.722
71,22SOpen,ACCT 6309.501,Business Data Warehousing,Naser Islam ,Tuesday,19:00:00,21:45:00,JSOM 2.722
72,22SOpen,ACCT 6313.001,Cybersecurity Fundamentals,Prithi Narasimhan ,Monday,13:00:00,15:45:00,JSOM 11.210
73,22SOpen,ACCT 6330.501,Intermediate Financial Accounting I,William Cready ,Thursday,19:00:00,21:45:00,JSOM 2.804
74,22SOpen,ACCT 6331.501,Cost Accounting Foundations and Evolutions,Surya Janakiraman ,Wednesday,19:00:00,21:45:00,JSOM 2.904
75,22SOpen,ACCT 6332.501,Intermediate Financial Accounting II,Kathy Zolton ,Monday,19:00:00,21:45:00,JSOM 11.202
76,22SOpen,ACCT 6333.501,Advanced Financial Reporting,Kathy Zolton ,Monday,17:30:00,18:45:00,JSOM 11.202
77,22SOpen,ACCT 6333.501,Advanced Financial Reporting,Kathy Zolton ,Wednesday,17:30:00,18:45:00,JSOM 11.202
78,22SFull,ACCT 6336.501,Information Technology Audit and Risk Management,Joseph Mauriello ,Thursday,19:00:00,21:45:00,JSOM 2.717
79,22SOpen,ACCT 6338.201,Accounting Systems Integration and Configuration,Mary Beth Goodrich ,Tuesday,19:00:00,21:45:00,JSOM 2.804
81,22SFull,ACCT 6340.501,System Analysis and Project Management,Timothy Stephens ,Wednesday,19:00:00,21:45:00,JSOM 2.722
82,22SOpen,ACCT 6340.502,System Analysis and Project Management,William Hefley ,Wednesday,19:00:00,21:45:00,JSOM 12.210
83,22SOpen,ACCT 6353.501,Fundamentals of Taxation II,John Gamino ,Tuesday,19:00:00,21:45:00,SOM 1.102
84,22SOpen,ACCT 6377.501,Corporate Governance,Gregory Ballew ,Wednesday,19:00:00,21:45:00,JSOM 2.804
85,22SOpen,ACCT 6380.501,Internal Audit,Joseph Mauriello ,Wednesday,19:00:00,21:45:00,JSOM 2.107
86,22SFull,ACCT 6384.501,Analytical Reviews Using Audit Software,Jeffrey Kromer ,Monday,19:00:00,21:45:00,JSOM 2.112
87,22SOpen,ACCT 6392.501,Advanced Auditing,Joseph Mauriello ,Tuesday,19:00:00,21:45:00,JSOM 2.901
88,22SOpen,ACCT 7314.001,Empirical Research in Financial Reporting,Ashiq Ali ,Tuesday,13:00:00,15:45:00,JSOM 14.501
89,22SFull,ACN 5314.501,Computational Modeling Methods in Behavioral and Brain Sciences,Richard Golden ,Monday,19:00:00,21:45:00,GR 4.301
90,22SOpen,ACN 6110.001,Fundamentals Of Functional Brain Imaging Lab,Bart Rypma ,Tuesday,16:00:00,17:15:00,JO 3.209
91,22SOpen,ACN 6110.001,Fundamentals Of Functional Brain Imaging Lab,Bart Rypma ,Thursday,16:00:00,17:15:00,JO 3.209
92,22SOpen,ACN 6310.001,Fundamentals Of Functional Brain Imaging,Bart Rypma ,Tuesday,14:30:00,15:45:00,GR 4.204
93,22SOpen,ACN 6310.001,Fundamentals Of Functional Brain Imaging,Bart Rypma ,Thursday,14:30:00,15:45:00,GR 4.204
94,22SOpen,ACN 6313.001,Research Methods In Behavioral And Brain Sciences - Part Ii,Nancy Juhn ,Wednesday,10:00:00,12:45:00,JO 3.209
95,22SOpen,ACN 6313.002,Research Methods In Behavioral And Brain Sciences - Part Ii,Robert Ackerman ,Tuesday,10:00:00,11:15:00,JO 3.209
96,22SOpen,ACN 6313.002,Research Methods In Behavioral And Brain Sciences - Part Ii,Robert Ackerman ,Thursday,10:00:00,11:15:00,JO 3.209
97,22SOpen,ACN 6313.003,Research Methods In Behavioral And Brain Sciences - Part Ii,Nancy Juhn ,Wednesday,16:00:00,18:45:00,JO 3.209
98,22SOpen,ACN 6313.501,Research Methods In Behavioral And Brain Sciences - Part Ii,Herve Abdi ,Monday,17:30:00,18:45:00,GR 4.204
99,22SOpen,ACN 6313.501,Research Methods In Behavioral And Brain Sciences - Part Ii,Herve Abdi ,Wednesday,17:30:00,18:45:00,GR 4.204
100,22SFull,ACN 6331.001,Cognitive Development,Candice Mills ,Monday,10:00:00,12:45:00,CRA 12.125
101,22SFull,ACN 6332.0h1,Perception,Rachna Raman ,Monday,13:00:00,14:15:00,CRA 12.110
102,22SOpen,ACN 6333.001,Memory,Chandramallika Basak ,Tuesday,10:00:00,12:45:00,CR 1.212
103,22SFull,ACN 6338.001,Functional Neuroanatomy,Kristen Kennedy ,Tuesday,13:00:00,14:15:00,CRA 12.120
104,22SFull,ACN 6338.001,Functional Neuroanatomy,Kristen Kennedy ,Thursday,13:00:00,14:15:00,CRA 12.120
105,22SOpen,ACN 6346.001,Systems Neuroscience,Rukhsana Sultana ,Monday,08:30:00,09:45:00,CRA 12.110
106,22SOpen,ACN 6346.001,Systems Neuroscience,Rukhsana Sultana ,Wednesday,08:30:00,09:45:00,CRA 12.110
107,22SOpen,ACN 6372.001,The Neuroscience of Pain,Benedict Kolber ,Tuesday,16:00:00,18:45:00,CRA 12.120
